Info,,LIBOR 6M,,Vol Black,Aout-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR Bloomberg CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998433,0.998191,0.997931,0.997691,0.997415,0.997195,0.996935,0.996665,0.996414,0.996139,0.995854,0.995577,0.995258,0.993255,0.987823,0.979543,0.967959,0.953613,0.935769,0.915451,0.893429,0.871151,0.84762,0.825001,0.758308,0.663728,0.588939,0.528298,0.4734,0.421191,0.380444,0.340292,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
,Strike,0.32,0.41,0.54,0.69,0.84,1,1.16,1.31,1.43,1.55,1.72,1.9,2.04,2.09,2.09,,,,,,,,,,,,,,,,,
2Yr,Vol,60.16,61.11,56.91,52.06,48.32,44.18,40.91,38.36,36.66,35.19,32.86,29.55,27.9,27.36,27.15,,,,,,,,,,,,,,,,,
,Strike,0.5,0.65,0.81,0.97,1.14,1.31,1.46,1.58,1.7,1.79,1.93,2.06,2.16,2.18,2.18,,,,,,,,,,,,,,,,,
3Yr,Vol,63.96,59.7,53.7,48.62,44.58,41.06,38.37,36.31,34.76,33.5,31.75,29.18,27.87,27.29,27.05,,,,,,,,,,,,,,,,,
,Strike,0.8,0.97,1.13,1.31,1.47,1.62,1.74,1.86,1.94,2.01,2.13,2.21,2.27,2.27,2.25,,,,,,,,,,,,,,,,,
4Yr,Vol,55.74,51.78,46.44,42.81,40.06,37.66,35.77,34.14,33.07,32.09,30.71,28.66,27.76,27.12,26.68,,,,,,,,,,,,,,,,,
,Strike,1.15,1.3,1.48,1.65,1.8,1.91,2.02,2.09,2.15,2.21,2.29,2.35,2.37,2.34,2.32,,,,,,,,,,,,,,,,,
5Yr,Vol,48.8,44.5,40.62,38.04,36.28,34.69,33.44,32.51,31.71,31.04,29.94,28.28,27.67,27.05,26.4,,,,,,,,,,,,,,,,,
,Strike,1.46,1.66,1.82,1.96,2.07,2.17,2.24,2.29,2.34,2.39,2.42,2.47,2.45,2.4,2.37,,,,,,,,,,,,,,,,,
6Yr,Vol,42.11,39.23,36.42,34.7,33.31,32.22,31.4,30.78,30.18,29.8,28.88,27.55,26.94,26.25,25.5,,,,,,,,,,,,,,,,,
