Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,4,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.991966,0.990372,0.988679,0.986775,0.98495,0.983116,0.981045,0.979167,0.977013,0.974814,0.97264,0.970174,0.968069,0.953509,0.922151,0.88901,0.854847,0.820489,0.786798,0.753702,0.721085,0.689382,0.658136,0.627433,0.543898,0.437335,0.364429,0.313436,0.272001,0.234494,0.198651,0.171671,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
3Mo,Vol,28.27,30.1,27.53,25.5,23.91,22.83,21.85,21.13,20.5,19.97,19.44,18.69,18.69,19.17,20.09,,,,,,,,,,,,,,,,,
,Strike,2.16,2.57,2.85,3.07,3.24,3.38,3.49,3.59,3.67,3.75,3.88,4.02,4.08,4.03,3.93,,,,,,,,,,,,,,,,,
6Mo,Vol,28.36,28.98,26.7,25.11,23.93,22.96,22.14,21.54,20.94,20.44,19.98,19.29,19.24,19.84,20.66,,,,,,,,,,,,,,,,,
,Strike,2.43,2.77,3.02,3.21,3.36,3.49,3.59,3.68,3.76,3.83,3.96,4.08,4.13,4.06,3.96,,,,,,,,,,,,,,,,,
9Mo,Vol,29.78,28.73,26.65,25.03,23.84,22.94,22.22,21.65,21.11,20.64,20.2,19.55,19.58,20.22,21.09,,,,,,,,,,,,,,,,,
,Strike,2.65,2.94,3.16,3.33,3.47,3.58,3.68,3.76,3.83,3.9,4.02,4.13,4.16,4.09,3.98,,,,,,,,,,,,,,,,,
1Yr,Vol,31.25,28.48,26.6,24.94,23.74,22.91,22.31,21.76,21.28,20.86,20.43,19.83,19.93,20.61,21.53,,,,,,,,,,,,,,,,,
,Strike,2.86,3.1,3.29,3.44,3.57,3.67,3.76,3.83,3.9,3.97,4.08,4.17,4.19,4.11,4,,,,,,,,,,,,,,,,,
2Yr,Vol,28.97,26.24,24.83,23.72,22.77,22.19,21.74,21.29,20.88,20.48,20.06,19.5,19.63,20.56,21.54,,,,,,,,,,,,,,,,,
,Strike,3.35,3.51,3.65,3.76,3.85,3.93,4,4.05,4.11,4.17,4.26,4.31,4.28,4.17,4.05,,,,,,,,,,,,,,,,,
3Yr,Vol,26.06,23.58,22.67,21.89,21.17,20.94,20.71,20.41,20.11,19.86,19.48,19.03,19.33,20.36,21.34,,,,,,,,,,,,,,,,,
,Strike,3.68,3.81,3.91,3.99,4.05,4.12,4.17,4.23,4.28,4.32,4.39,4.4,4.33,4.19,4.07,,,,,,,,,,,,,,,,,
4Yr,Vol,23.23,21.6,21.05,20.52,20.04,19.76,19.51,19.31,19.16,19.06,18.79,18.48,18.78,19.77,20.72,,,,,,,,,,,,,,,,,
,Strike,3.95,4.03,4.1,4.16,4.22,4.27,4.32,4.37,4.41,4.45,4.47,4.47,4.35,4.2,4.07,,,,,,,,,,,,,,,,,
5Yr,Vol,21.34,20.11,19.68,19.27,18.9,18.69,18.47,18.41,18.39,18.39,18.23,18.01,18.24,19.25,20.13,,,,,,,,,,,,,,,,,
,Strike,4.11,4.18,4.23,4.29,4.34,4.39,4.44,4.48,4.51,4.54,4.53,4.51,4.36,4.18,4.05,,,,,,,,,,,,,,,,,
6Yr,Vol,20.18,19.01,18.63,18.31,17.98,17.8,17.66,17.66,17.67,17.75,17.63,17.48,17.76,18.68,19.4,,,,,,,,,,,,,,,,,
,Strike,4.24,4.3,4.35,4.4,4.45,4.51,4.55,4.58,4.6,4.59,4.57,4.51,4.34,4.16,4.02,,,,,,,,,,,,,,,,,
7Yr,Vol,19.06,17.92,17.62,17.34,17.07,16.94,16.86,16.91,17.01,17.14,17.05,16.97,17.29,18.12,18.68,,,,,,,,,,,,,,,,,
,Strike,4.35,4.41,4.46,4.51,4.57,4.6,4.63,4.66,4.64,4.62,4.59,4.5,4.3,4.12,3.99,,,,,,,,,,,,,,,,,
8Yr,Vol,18.05,17.19,16.92,16.71,16.53,16.44,16.4,16.52,16.65,16.79,16.72,16.7,17.07,17.82,18.3,,,,,,,,,,,,,,,,,
,Strike,4.47,4.51,4.57,4.62,4.66,4.69,4.71,4.68,4.66,4.64,4.6,4.47,4.25,4.07,3.95,,,,,,,,,,,,,,,,,
9Yr,Vol,17.11,16.46,16.24,16.11,16.02,15.95,16,16.13,16.3,16.46,16.44,16.44,16.86,17.52,17.93,,,,,,,,,,,,,,,,,
,Strike,4.55,4.62,4.68,4.71,4.74,4.75,4.72,4.69,4.66,4.64,4.56,4.43,4.19,4.01,3.9,,,,,,,,,,,,,,,,,
10Yr,Vol,16.06,15.7,15.57,15.52,15.52,15.55,15.63,15.78,15.98,16.15,16.2,16.21,16.67,17.25,17.58,,,,,,,,,,,,,,,,,
,Strike,4.7,4.75,4.77,4.79,4.8,4.75,4.71,4.68,4.65,4.63,4.51,4.37,4.12,3.94,3.84,,,,,,,,,,,,,,,,,
12Yr,Vol,15.29,15.19,15.19,15.37,15.53,15.58,15.68,15.84,16.1,16.36,16.36,16.37,16.69,17.18,17.47,,,,,,,,,,,,,,,,,
,Strike,4.82,4.83,4.84,4.75,4.69,4.65,4.62,4.59,4.51,4.45,4.34,4.17,3.93,3.79,3.71,,,,,,,,,,,,,,,,,
15Yr,Vol,14.85,15.04,15.24,15.47,15.69,15.87,16.07,16.3,16.52,16.8,16.79,16.73,16.81,17.13,17.36,,,,,,,,,,,,,,,,,
,Strike,4.45,4.45,4.44,4.42,4.41,4.31,4.24,4.17,4.12,4.08,3.94,3.78,3.6,3.51,3.49,,,,,,,,,,,,,,,,,
20Yr,Vol,16.18,16.6,16.9,17.2,17.46,17.71,17.96,18.31,18.56,18.81,18.53,18.09,17.41,17.24,17.01,,,,,,,,,,,,,,,,,
,Strike,3.77,3.74,3.71,3.69,3.67,3.58,3.51,3.46,3.41,3.37,3.3,3.21,3.16,3.19,3.16,,,,,,,,,,,,,,,,,
25Yr,Vol,18.46,19.32,19.57,19.83,19.98,20.08,20.1,20.13,20.13,20.08,19.38,18.37,17.24,16.89,16.54,,,,,,,,,,,,,,,,,
,Strike,3.11,3.08,3.06,3.04,3.01,3,2.98,2.96,2.94,2.93,2.94,2.94,3.01,3,2.83,,,,,,,,,,,,,,,,,
30Yr,Vol,19.64,19.93,19.88,19.83,19.66,19.4,19.2,19,18.75,18.55,17.8,16.76,15.79,15.46,15.19,,,,,,,,,,,,,,,,,
,Strike,2.91,2.89,2.87,2.85,2.83,2.86,2.88,2.89,2.89,2.89,2.96,3.01,2.99,2.78,2.62,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-2.1,-1.7,-1.4,-1.2,-1,-0.9,-0.9,-0.7,-0.8,-0.7,-0.6,-0.6,-0.6,-0.7,-0.7,,,,,,,,,,,,,,,,,,
3Mo,-2.3,-2,-1.6,-1.5,-1.2,-1.1,-1,-1.1,-1,-0.9,-0.9,-0.8,-0.8,-0.9,-0.8,,,,,,,,,,,,,,,,,,
6Mo,0.3,0.4,0.5,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,
